;SERIAL;Feedback;TIME;ZEIT;GOAL;gmc_GOALt1
1005;GD335178;1;LP_T7;TE03_01;6;
1006;VY624531;1;LP_T7;TE03_01;5;
1007;SN429438;0;LP_T7;TE03_01;3;
1008;SP553518;0;LP_T7;TE03_01;3;
1009;RT652696;0;LP_T7;TE03_01;5;
1010;FF171956;1;LP_T7;TE03_01;5;
1011;UL113513;0;LP_T7;TE03_01;5;
1012;EP831244;0;LP_T7;TE03_01;3;
1013;WR312764;1;LP_T7;TE03_01;4;
1014;SM631877;0;LP_T7;TE03_01;5;
1015;TG784124;1;LP_T7;TE03_01;3;
819;PZ846199;0;LP_T6;TE03_01;6;
820;GZ249864;0;LP_T6;TE03_01;3;
821;NV617537;0;LP_T6;TE03_01;3;
822;PH647245;0;LP_T6;TE03_01;5;
823;RW164757;0;LP_T6;TE03_01;6;
824;XY216464;0;LP_T6;TE03_01;6;
825;YN129325;0;LP_T6;TE03_01;6;
826;WG879246;1;LP_T6;TE03_01;3;
827;PK111235;0;LP_T6;TE03_01;4;
828;EP831244;0;LP_T6;TE03_01;3;
829;ET745775;0;LP_T6;TE03_01;5;
830;SS198481;1;LP_T6;TE03_01;3;
831;KV214531;1;LP_T6;TE03_01;4;
832;EL742586;1;LP_T6;TE03_01;3;
833;FX545495;1;LP_T6;TE03_01;3;
835;PA298545;1;LP_T6;TE03_01;4;
836;PY378998;1;LP_T6;TE03_01;6;
837;PY946565;1;LP_T6;TE03_01;4;
838;YM644361;0;LP_T6;TE03_01;5;
839;SW218242;1;LP_T6;TE03_01;6;
840;EE558756;1;LP_T6;TE03_01;4;
841;NB497633;1;LP_T6;TE03_01;6;
842;MB259846;0;LP_T6;TE03_01;3;
843;FE929218;0;LP_T6;TE03_01;4;
844;VN755488;1;LP_T6;TE03_01;5;
845;PW785611;0;LP_T6;TE03_01;4;
846;AT424766;0;LP_T6;TE03_01;6;
847;FL283383;1;LP_T6;TE03_01;6;
848;GD335178;1;LP_T6;TE03_01;6;
849;ME363698;1;LP_T6;TE03_01;4;
851;KZ379721;1;LP_T6;TE03_01;2;
852;RH615392;0;LP_T6;TE03_01;2;
853;YL695788;1;LP_T6;TE03_01;6;
854;AP844344;1;LP_T6;TE03_01;6;
855;FL248294;0;LP_T6;TE03_01;6;
857;XP544262;1;LP_T6;TE03_01;1;
858;XK292543;1;LP_T6;TE03_01;6;
859;NK367231;1;LP_T6;TE03_01;5;
860;SE762113;0;LP_T6;TE03_01;6;
861;BA355797;1;LP_T6;TE03_01;3;
862;HQ159989;0;LP_T6;TE03_01;6;
863;NV651396;1;LP_T6;TE03_01;3;
864;UR157297;0;LP_T6;TE03_01;1;
